foldChange145,fonte,foldChange195b,fonte.2
0.978,Tumor,1.546,Tumor
0.979,Tumor,1.461,Tumor
0.979,Tumor,1.544,Tumor
0.979,Tumor,1.75,Tumor
0.979,Tumor,1.603,Tumor
0.975,Tumor,1.808,Tumor
0.975,Tumor,1.617,Tumor
0.975,Tumor,1.639,Tumor
0.975,Tumor,1.8,Tumor
0.98,Tumor,1.645,Tumor
0.98,Tumor,1.587,Tumor
0.98,Tumor,1.525,Tumor
0.971,Tumor,1.564,Tumor
0.971,Tumor,1.502,Tumor
0.978,Tumor,1.661,Tumor
0.978,Tumor,1.523,Tumor
0.978,Tumor,1.69,Tumor
0.978,Tumor,1.593,Tumor
0.978,Tumor,1.675,Tumor
0.978,Tumor,1.615,Tumor
0.978,Tumor,1.592,Tumor
0.975,Tumor,1.612,Tumor
0.975,Tumor,1.442,Tumor
1.016,Tumor,1.644,Tumor
1.015,Tumor,1.638,Tumor
1.016,Tumor,1.555,Tumor
1.016,Tumor,1.522,Tumor
0.967,Tumor,1.451,Tumor
0.966,Tumor,1.522,Tumor
0.966,Tumor,1.407,Tumor
0.993,Tumor,1.813,Tumor
0.993,Tumor,1.422,Tumor
0.994,Tumor,1.799,Tumor
0.994,Tumor,1.619,Tumor
1.052,Tumor,1.579,Tumor
1.053,Tumor,1.399,Tumor
1.051,Tumor,1.542,Tumor
